Stream,S,D84,D50,Q,h,w,tau,D,Fi,Qsi t/day,qsi,excess_grain_stress,gs_ratio,V_adj,h_adj,Wi_star
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.5380150077870589,0.284640798080532,4.73830352068207,31.8325190125382,0.004,0.02,0.03503226456947,0.007393419272649001,0.104603271920888,1.2303682733103174,1.4473802339757185,0.10007637897946851,0.012194051868420644
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.5380150077870589,0.284640798080532,4.73830352068207,31.8325190125382,0.002,0.01,0.06637692234215299,0.014008583885019,0.214457157511746,1.4697767759990847,1.5559350917091352,0.0937966530382004,0.0462090386592777
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.5380150077870589,0.284640798080532,4.73830352068207,31.8325190125382,0.0005,0.01,0.529171575338831,0.111679543750008,5.564146469821581,2.0957665859622865,1.7971396678549012,0.08232995456852436,0.3683887248670044
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.594648166501487,0.294110432831404,4.78668275327043,32.8915461452672,0.004,0.02,0.0027996235800229995,0.000584877612395,0.11390552607643402,1.3011303060606159,1.5023567872112265,0.10583206055911724,0.000918433630379938
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.594648166501487,0.294110432831404,4.78668275327043,32.8915461452672,0.002,0.01,0.001866415720015,0.000389918408263,0.23197364901929501,1.5546790977495129,1.6152920724422155,0.09921485922121029,0.0012245781738388704
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.594648166501487,0.294110432831404,4.78668275327043,32.8915461452672,0.0005,0.01,0.07092379736057901,0.014816899513995,5.93535348171195,2.2178279614992547,1.8662584717666904,0.08712500549158123,0.04653397060588022
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.6371230355373071,0.300821175737755,4.82032046377775,33.6420353674561,0.002,0.01,0.023332577132485998,0.004840461813238,0.24459247784187102,1.6158500956482227,1.6573895671688152,0.1031186049869614,0.014696117405261038
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.6371230355373071,0.300821175737755,4.82032046377775,33.6420353674561,0.0005,0.01,0.163328039927405,0.033883232692667006,6.203237797577361,2.3058275058772195,1.9153042226161028,0.09058197371467276,0.1028728218368303
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.64278635140875,0.301692960121642,4.8246521940784906,33.7395305022437,0.008,0.2,0.19362022824448605,0.040131437553597,0.058423338305949,1.1365883639353185,1.4377940818863815,0.11783116277218318,0.006065762166585653
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.64278635140875,0.301692960121642,4.8246521940784906,33.7395305022437,0.004,0.02,0.274871574025654,0.05697230866983901,0.12148204361128802,1.3587568669204617,1.546394831786452,0.11051932181982661,0.08611215932920764
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.64278635140875,0.301692960121642,4.8246521940784906,33.7395305022437,0.002,0.01,0.125334522747547,0.025977939487819998,0.24624419529425898,1.6238566897260849,1.6628600047503792,0.1036295613029152,0.0785299566209765
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.64278635140875,0.301692960121642,4.8246521940784906,33.7395305022437,0.0005,0.01,0.32414100710572497,0.067184326261602,6.23832696315886,2.317349736423848,1.9216794430812825,0.09103461224979685,0.2030947153990728
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.39926376893671206,0.25818997219278694,4.597006589063571,28.874417350208102,0.016,0.4,0.021886973180077002,0.004761135916609,0.015244596838871999,0.7293794535809612,1.120294587641518,0.09637646250655792,0.0004544854174608063
